key1 key2 current-time capacity load life-time deleted?
 39 9 0 1 0 -1 0 
 21 37 0 1 0 -1 0 
 2 27 0 1 1 0.42764920147525737 0 
 39 24 0 1 0 -1 0 
 17 30 0 1 0 -1 0 
 13 34 0 1 0 -1 0 
 8 5 0 1 1 0.7837138639132715 0 
 19 13 0 1 1 0.1278145712782652 0 
 10 5 0 1 0 -1 0 
 21 16 0 1 0 -1 0 
 3 14 0 1 0 -1 0 
 30 6 0 1 0 -1 0 
 3 18 0 1 0 -1 0 
 40 30 0 1 2 0.12799053711328065 0 
 3 34 0 1 0 -1 0 
 35 30 0 1 0 -1 0 
 4 16 0 1 0 -1 0 
 3 24 0 1 1 1.8391523474481117 0 
 36 26 0 1 0 -1 0 
 31 8 0 1 0 -1 0 
 25 3 0 1 1 0.7733706212618505 0 
 4 33 0 1 0 -1 0 
 22 24 0 1 0 -1 0 
 16 24 0 1 1 2.0231415731104088 0 
 8 33 0 1 0 -1 0 
 37 22 0 1 0 -1 0 
 10 31 0 1 0 -1 0 
 21 7 0 1 0 -1 0 
 17 25 0 1 0 -1 0 
 5 13 0 1 0 -1 0 
 32 4 0 1 0 -1 0 
 8 22 0 1 0 -1 0 
 23 15 0 1 0 -1 0 
 32 28 0 1 0 -1 0 
 36 4 0 1 0 -1 0 
 31 40 0 1 0 -1 0 
 21 6 0 1 0 -1 0 
 18 34 0 1 0 -1 0 
 40 9 0 1 2 0.0030919789456450623 0 
 2 34 0 1 0 -1 0 
 3 22 0 1 0 -1 0 
 26 23 0 1 0 -1 0 
 23 13 0 1 0 -1 0 
 19 6 0 1 1 0.9718775937609153 0 
 7 16 0 1 0 -1 0 
 27 28 0 1 0 -1 0 
 39 37 0 1 0 -1 0 
 32 6 0 1 0 -1 0 
 27 14 0 1 0 -1 0 
 1 36 0 1 0 -1 0 
 14 35 0 1 0 -1 0 
 7 26 0 1 0 -1 0 
 32 14 0 1 0 -1 0 
 26 24 0 1 0 -1 0 
 17 20 0 1 0 -1 0 
 12 8 0 1 1 0.08305890475557708 0 
 3 28 0 1 2 0.4562932632292766 0 
 5 24 0 1 0 -1 0 
 23 14 0 1 0 -1 0 
 2 18 0 1 0 -1 0 
 40 22 0 1 0 -1 0 
 10 27 0 1 0 -1 0 
 27 6 0 1 1 0.18353980426050648 0 
 23 22 0 1 0 -1 0 
 40 26 0 1 0 -1 0 
 21 23 0 1 0 -1 0 
 4 30 0 1 0 -1 0 
 40 4 0 1 0 -1 0 
 10 11 0 1 1 0.33282924618329107 0 
 22 13 0 1 0 -1 0 
 19 4 0 1 0 -1 0 
 20 16 0 1 0 -1 0 
 31 20 0 1 0 -1 0 
 37 38 0 1 0 -1 0 
 23 32 0 1 2 0.9666312068708858 0 
