key current-time xcor ycor available-power actual-power
 4 0 -2.7685973160291444 2.500722937491543 3 3 
 1 0 -11.540009300100285 -4.465803008546771 3 3 
 8 0 11.439844029197475 -10.67711369490114 0 0 
 10 0 -1.0886304510943485 -19.185043199718216 -3 -3 
 2 0 10.00904265876871 7.340787846398026 2 2 
 9 0 3.6230978293367753 -2.054511735881031 -2 -2 
 6 0 12.897668681572569 -8.947058390028303 2 2 
 3 0 -10.641813561438857 -6.5383625450251825 -1 -1 
 7 0 -10.774724131479223 -1.6281337037959043 -2 -2 
 5 0 0.7858820841900828 17.203310239374286 -2 -2 
 9 0.05676809775829928 3.6230978293367753 -2.054511735881031 -2 -2 
 2 0.05676809775829928 10.00904265876871 7.340787846398026 2 2 
 4 0.05676809775829928 -2.7685973160291444 2.500722937491543 3 3 
 3 0.05676809775829928 -10.641813561438857 -6.5383625450251825 -1 -1 
 8 0.05676809775829928 11.439844029197475 -10.67711369490114 0 0 
 5 0.05676809775829928 0.7858820841900828 17.203310239374286 -2 -2 
 10 0.05676809775829928 -1.0886304510943485 -19.185043199718216 -3 -3 
 7 0.05676809775829928 -10.774724131479223 -1.6281337037959043 -2 -2 
 6 0.05676809775829928 12.897668681572569 -8.947058390028303 2 2 
 1 0.05676809775829928 -11.540009300100285 -4.465803008546771 3 3 
 9 0.1300983132770802 3.6230978293367753 -2.054511735881031 -2 -2 
 8 0.1300983132770802 11.439844029197475 -10.67711369490114 0 0 
 4 0.1300983132770802 -2.7685973160291444 2.500722937491543 3 3 
 3 0.1300983132770802 -10.641813561438857 -6.5383625450251825 -1 -1 
 5 0.1300983132770802 0.7858820841900828 17.203310239374286 -2 -2 
 2 0.1300983132770802 10.00904265876871 7.340787846398026 2 2 
 1 0.1300983132770802 -11.540009300100285 -4.465803008546771 3 3 
 6 0.1300983132770802 12.897668681572569 -8.947058390028303 2 2 
 10 0.1300983132770802 -1.0886304510943485 -19.185043199718216 -3 -3 
 7 0.1300983132770802 -10.774724131479223 -1.6281337037959043 -2 -2 
 8 0.2084256257662922 11.439844029197475 -10.67711369490114 0 0 
 9 0.2084256257662922 3.6230978293367753 -2.054511735881031 -2 -2 
 7 0.2084256257662922 -10.774724131479223 -1.6281337037959043 -2 -2 
 1 0.2084256257662922 -11.540009300100285 -4.465803008546771 3 3 
 5 0.2084256257662922 0.7858820841900828 17.203310239374286 -2 -2 
 10 0.2084256257662922 -1.0886304510943485 -19.185043199718216 -3 -3 
 2 0.2084256257662922 10.00904265876871 7.340787846398026 2 2 
 6 0.2084256257662922 12.897668681572569 -8.947058390028303 2 2 
 4 0.2084256257662922 -2.7685973160291444 2.500722937491543 3 3 
 3 0.2084256257662922 -10.641813561438857 -6.5383625450251825 -1 -1 
 7 0.2462566848731446 -10.774724131479223 -1.6281337037959043 -2 -2 
 10 0.2462566848731446 -1.0886304510943485 -19.185043199718216 -3 -3 
 3 0.2462566848731446 -10.641813561438857 -6.5383625450251825 -1 -1 
 2 0.2462566848731446 10.00904265876871 7.340787846398026 2 2 
 8 0.2462566848731446 11.439844029197475 -10.67711369490114 0 0 
 1 0.2462566848731446 -11.540009300100285 -4.465803008546771 3 3 
 4 0.2462566848731446 -2.7685973160291444 2.500722937491543 3 3 
 5 0.2462566848731446 0.7858820841900828 17.203310239374286 -2 -2 
 6 0.2462566848731446 12.897668681572569 -8.947058390028303 2 2 
 9 0.2462566848731446 3.6230978293367753 -2.054511735881031 -2 -2 
 8 0.48440484660354594 11.439844029197475 -10.67711369490114 0 0 
 7 0.48440484660354594 -10.774724131479223 -1.6281337037959043 -2 -2 
 5 0.48440484660354594 0.7858820841900828 17.203310239374286 -2 -2 
 1 0.48440484660354594 -11.540009300100285 -4.465803008546771 3 3 
 9 0.48440484660354594 3.6230978293367753 -2.054511735881031 -2 -2 
 6 0.48440484660354594 12.897668681572569 -8.947058390028303 2 2 
 10 0.48440484660354594 -1.0886304510943485 -19.185043199718216 -3 -3 
 4 0.48440484660354594 -2.7685973160291444 2.500722937491543 3 3 
 2 0.48440484660354594 10.00904265876871 7.340787846398026 2 2 
 3 0.48440484660354594 -10.641813561438857 -6.5383625450251825 -1 -1 
 3 0.4894359629605858 -10.641813561438857 -6.5383625450251825 -1 -1 
 2 0.4894359629605858 10.00904265876871 7.340787846398026 2 2 
 8 0.4894359629605858 11.439844029197475 -10.67711369490114 0 0 
 1 0.4894359629605858 -11.540009300100285 -4.465803008546771 3 3 
 4 0.4894359629605858 -2.7685973160291444 2.500722937491543 3 3 
 10 0.4894359629605858 -1.0886304510943485 -19.185043199718216 -3 -3 
 9 0.4894359629605858 3.6230978293367753 -2.054511735881031 -2 -2 
 7 0.4894359629605858 -10.774724131479223 -1.6281337037959043 -2 -2 
 5 0.4894359629605858 0.7858820841900828 17.203310239374286 -2 -2 
 6 0.4894359629605858 12.897668681572569 -8.947058390028303 2 2 
 10 0.4922525541075792 -1.0886304510943485 -19.185043199718216 -3 -3 
 9 0.4922525541075792 3.6230978293367753 -2.054511735881031 -2 -2 
 7 0.4922525541075792 -10.774724131479223 -1.6281337037959043 -2 -2 
 4 0.4922525541075792 -2.7685973160291444 2.500722937491543 3 3 
 1 0.4922525541075792 -11.540009300100285 -4.465803008546771 3 3 
 5 0.4922525541075792 0.7858820841900828 17.203310239374286 -2 -2 
 6 0.4922525541075792 12.897668681572569 -8.947058390028303 2 2 
 2 0.4922525541075792 10.00904265876871 7.340787846398026 2 2 
 8 0.4922525541075792 11.439844029197475 -10.67711369490114 0 0 
 3 0.4922525541075792 -10.641813561438857 -6.5383625450251825 -1 -1 
 9 0.5177709248119221 3.6230978293367753 -2.054511735881031 -2 -2 
 7 0.5177709248119221 -10.774724131479223 -1.6281337037959043 -2 -2 
 2 0.5177709248119221 10.00904265876871 7.340787846398026 2 2 
 6 0.5177709248119221 12.897668681572569 -8.947058390028303 2 2 
 3 0.5177709248119221 -10.641813561438857 -6.5383625450251825 -1 -1 
 1 0.5177709248119221 -11.540009300100285 -4.465803008546771 3 3 
 8 0.5177709248119221 11.439844029197475 -10.67711369490114 0 0 
