key1 key2 current-time capacity load life-time deleted?
 97 72 0 1 0 -1 0 
 51 12 0 1 0 -1 0 
 67 22 0 1 0 -1 0 
 97 61 0 1 0 -1 0 
 45 36 0 1 0 -1 0 
 22 58 0 1 0 -1 0 
 59 97 0 1 0 -1 0 
 15 54 0 1 0 -1 0 
 45 50 0 1 0 -1 0 
 28 16 0 1 0 -1 0 
 26 64 0 1 0 -1 0 
 97 75 0 1 0 -1 0 
 12 74 0 1 0 -1 0 
 38 87 0 1 0 -1 0 
 44 88 0 1 0 -1 0 
 77 13 0 1 0 -1 0 
 66 23 0 1 0 -1 0 
 47 92 0 1 1 0.5718639139206778 0 
 70 62 0 1 0 -1 0 
 28 39 0 1 0 -1 0 
 50 51 0 1 0 -1 0 
 29 82 0 1 0 -1 0 
 19 48 0 1 1 0.38027605314823265 0 
 95 8 0 1 0 -1 0 
 49 16 0 1 0 -1 0 
 78 25 0 1 0 -1 0 
 76 41 0 1 0 -1 0 
 8 64 0 1 1 1.3860136791354647 0 
 77 18 0 1 0 -1 0 
 40 72 0 1 0 -1 0 
 3 70 0 1 0 -1 0 
 100 81 0 1 0 -1 0 
 58 23 0 1 0 -1 0 
 93 83 0 1 0 -1 0 
 79 82 0 1 0 -1 0 
 86 19 0 1 0 -1 0 
 27 8 0 1 1 0.5664818182296003 0 
 37 23 0 1 0 -1 0 
 78 40 0 1 0 -1 0 
 47 99 0 1 0 -1 0 
 39 85 0 1 0 -1 0 
 3 36 0 1 0 -1 0 
 56 58 0 1 0 -1 0 
 69 89 0 1 0 -1 0 
 45 24 0 1 0 -1 0 
 99 71 0 1 1 1.771742649017604 0 
 62 26 0 1 0 -1 0 
 92 41 0 1 0 -1 0 
 32 91 0 1 0 -1 0 
 70 55 0 1 2 0.06394994346894853 0 
 78 20 0 1 0 -1 0 
 39 53 0 1 0 -1 0 
 95 91 0 1 0 -1 0 
 45 2 0 1 1 0.7062478926577715 0 
 30 82 0 1 0 -1 0 
 42 35 0 1 0 -1 0 
 96 5 0 1 0 -1 0 
 81 35 0 1 0 -1 0 
 82 88 0 1 0 -1 0 
 1 64 0 1 0 -1 0 
 45 27 0 1 0 -1 0 
 6 40 0 1 0 -1 0 
 67 99 0 1 0 -1 0 
 44 43 0 1 0 -1 0 
 100 31 0 1 0 -1 0 
 49 70 0 1 0 -1 0 
 75 80 0 1 0 -1 0 
 45 83 0 1 1 0.44835566669907556 0 
 70 25 0 1 0 -1 0 
 27 70 0 1 0 -1 0 
 68 49 0 1 0 -1 0 
 57 84 0 1 0 -1 0 
 63 31 0 1 2 0.7908653965607434 0 
 42 64 0 1 1 0.4043868909105674 0 
 63 23 0 1 2 0.4948382901867482 0 
 27 84 0 1 0 -1 0 
 37 74 0 1 0 -1 0 
 68 94 0 1 0 -1 0 
 90 94 0 1 0 -1 0 
 76 29 0 1 0 -1 0 
 11 42 0 1 0 -1 0 
 97 79 0 1 0 -1 0 
 77 27 0 1 0 -1 0 
 83 82 0 1 0 -1 0 
 4 81 0 1 0 -1 0 
 32 99 0 1 1 0.6388062866042923 0 
 14 48 0 1 0 -1 0 
 96 79 0 1 0 -1 0 
 77 64 0 1 0 -1 0 
 7 43 0 1 0 -1 0 
 78 84 0 1 0 -1 0 
 76 69 0 1 0 -1 0 
 91 82 0 1 1 0.1373634997928381 0 
 59 42 0 1 0 -1 0 
 78 33 0 1 0 -1 0 
 87 60 0 1 0 -1 0 
 76 49 0 1 0 -1 0 
 20 11 0 1 2 0.1652803857881885 0 
 95 71 0 1 0 -1 0 
 69 35 0 1 0 -1 0 
 74 88 0 1 0 -1 0 
 31 65 0 1 0 -1 0 
 8 94 0 1 0 -1 0 
 16 64 0 1 0 -1 0 
 91 54 0 1 0 -1 0 
 30 11 0 1 0 -1 0 
 52 72 0 1 0 -1 0 
 7 74 0 1 0 -1 0 
 15 89 0 1 0 -1 0 
 30 8 0 1 0 -1 0 
 47 64 0 1 0 -1 0 
 10 89 0 1 0 -1 0 
 2 8 0 1 0 -1 0 
 39 31 0 1 0 -1 0 
 4 83 0 1 0 -1 0 
 77 92 0 1 0 -1 0 
 38 64 0 1 0 -1 0 
 39 16 0 1 0 -1 0 
 66 34 0 1 0 -1 0 
 80 5 0 1 0 -1 0 
 92 51 0 1 0 -1 0 
 44 26 0 1 0 -1 0 
 100 91 0 1 1 1.8601398454505291 0 
 1 18 0 1 0 -1 0 
 16 74 0 1 0 -1 0 
 32 73 0 1 0 -1 0 
 97 8 0 1 0 -1 0 
 76 65 0 1 0 -1 0 
 49 5 0 1 0 -1 0 
 32 92 0 1 1 2.0732822438785616 0 
 2 43 0 1 0 -1 0 
 15 99 0 1 0 -1 0 
 32 27 0 1 0 -1 0 
 77 97 0 1 0 -1 0 
 37 94 0 1 0 -1 0 
 40 88 0 1 0 -1 0 
 63 65 0 1 0 -1 0 
 21 69 0 1 0 -1 0 
 47 9 0 1 0 -1 0 
 5 24 0 1 0 -1 0 
 98 61 0 1 0 -1 0 
 75 96 0 1 0 -1 0 
 73 89 0 1 0 -1 0 
 6 69 0 1 0 -1 0 
 10 11 0 1 2 0.6015872373766503 0 
 61 72 0 1 0 -1 0 
 49 60 0 1 0 -1 0 
 81 89 0 1 0 -1 0 
 42 40 0 1 0 -1 0 
 93 18 0 1 0 -1 0 
 85 88 0 1 0 -1 0 
 30 17 0 1 0 -1 0 
 51 60 0 1 0 -1 0 
 21 26 0 1 0 -1 0 
 36 35 0 1 0 -1 0 
 60 84 0 1 0 -1 0 
 4 64 0 1 0 -1 0 
 68 48 0 1 0 -1 0 
 85 64 0 1 0 -1 0 
 1 65 0 1 0 -1 0 
 27 79 0 1 0 -1 0 
 73 93 0 1 0 -1 0 
 91 74 0 1 0 -1 0 
 70 24 0 1 0 -1 0 
 17 21 0 1 0 -1 0 
 27 31 0 1 0 -1 0 
 63 44 0 1 0 -1 0 
 39 24 0 1 0 -1 0 
 7 46 0 1 0 -1 0 
 83 70 0 1 0 -1 0 
 67 19 0 1 0 -1 0 
 49 83 0 1 0 -1 0 
 33 83 0 1 0 -1 0 
 17 40 0 1 0 -1 0 
 10 70 0 1 1 0.4519934894937585 0 
 11 40 0 1 0 -1 0 
 99 46 0 1 0 -1 0 
 33 23 0 1 2 0.992941868186991 0 
