key1 key2 current-time capacity load life-time deleted?
 6 2 0 1 0 -1 0 
 8 7 0 1 0 -1 0 
 5 10 0 1 0 -1 0 
 5 6 0 1 2 0.7863071102770609 0 
 5 3 0 1 1 0.1705574325961571 0 
 7 9 0 1 0 -1 0 
 10 3 0 1 4 0.6425923655433078 0 
 5 9 0 1 0 -1 0 
 1 4 0 1 0 -1 0 
 4 6 0 1 1 0.8084814945704888 0 
 1 10 0 1 0 -1 0 
 4 10 0 1 0 -1 0 
 8 6 0 1 2 0.39318099943690615 0 
 4 7 0 1 0 -1 0 
 1 6 0 1 0 -1 0 
 8 9 0 1 0 -1 0 
 3 9 0 1 4 0.08541070678051568 0 
 1 5 0 1 1 0.34619645672521243 0 
 7 2 0 1 1 4.053479150273389 0 
 1 9 0 1 1 4.051322493160942 0 
 8 3 0 1 0 -1 0 
 8 2 0 1 0 -1 0 
 9 2 0 1 4 0.22441803294288573 0 
 7 6 0 1 0 -1 0 
 3 9 0.08541070678051568 1 4 0 1 
 4 10 0.08541070678051568 1 1 0.8806156958562389 0 
 8 7 0.08541070678051568 1 0 -1 0 
 8 3 0.08541070678051568 1 1 0.47558122846804457 0 
 7 6 0.08541070678051568 1 0 -1 0 
 8 9 0.08541070678051568 1 0 -1 0 
 8 2 0.08541070678051568 1 3 0.13189879171746502 0 
 7 9 0.08541070678051568 1 0 -1 0 
 8 6 0.08541070678051568 1 0 -1 0 
 5 6 0.08541070678051568 1 0 -1 0 
 1 4 0.08541070678051568 1 0 -1 0 
 4 6 0.08541070678051568 1 0 -1 0 
 1 9 0.08541070678051568 1 0 -1 0 
 6 2 0.08541070678051568 1 1 2.8331947618915865 0 
 5 9 0.08541070678051568 1 1 0.30220266678808627 0 
 1 10 0.08541070678051568 1 2 0.0818065057103104 0 
 5 10 0.08541070678051568 1 1 1.6956084767408315 0 
 7 2 0.08541070678051568 1 1 0.4841726194878154 0 
 9 2 0.08541070678051568 1 0 -1 0 
 10 3 0.08541070678051568 1 2 0.2809036228037167 0 
 5 3 0.08541070678051568 1 0 -1 0 
 1 5 0.08541070678051568 1 0 -1 0 
 4 7 0.08541070678051568 1 0 -1 0 
 1 6 0.08541070678051568 1 0 -1 0 
 1 10 0.16721721249082608 1 2 0 1 
 1 4 0.16721721249082608 1 1 0.14382961065930316 0 
 5 10 0.16721721249082608 1 0 -1 0 
 5 9 0.16721721249082608 1 0 -1 0 
 8 6 0.16721721249082608 1 2 0.052009499148225974 0 
 8 9 0.16721721249082608 1 0 -1 0 
 5 6 0.16721721249082608 1 1 1.4509381203722502 0 
 4 7 0.16721721249082608 1 0 -1 0 
 4 6 0.16721721249082608 1 0 -1 0 
 10 3 0.16721721249082608 1 4 0.054665347017593915 0 
 4 10 0.16721721249082608 1 0 -1 0 
 7 2 0.16721721249082608 1 0 -1 0 
 7 6 0.16721721249082608 1 1 0.8884347757425555 0 
 8 3 0.16721721249082608 1 4 0.5695947748577312 0 
 1 9 0.16721721249082608 1 1 0.5787328120039811 0 
 9 2 0.16721721249082608 1 0 -1 0 
 1 6 0.16721721249082608 1 2 0.5942276201319207 0 
 7 9 0.16721721249082608 1 0 -1 0 
 1 5 0.16721721249082608 1 0 -1 0 
 5 3 0.16721721249082608 1 1 0.44545407717617036 0 
 8 7 0.16721721249082608 1 0 -1 0 
 8 2 0.16721721249082608 1 4 0.06211557954188304 0 
 6 2 0.16721721249082608 1 1 1.145624473174484 0 
 8 6 0.21922671163905205 1 2 0 1 
 7 2 0.21922671163905205 1 0 -1 0 
 7 6 0.21922671163905205 1 0 -1 0 
 5 10 0.21922671163905205 1 0 -1 0 
 8 2 0.21922671163905205 1 4 0.47233639987384485 0 
 1 5 0.21922671163905205 1 0 -1 0 
 4 6 0.21922671163905205 1 0 -1 0 
 8 9 0.21922671163905205 1 2 0.6114995907163386 0 
 7 9 0.21922671163905205 1 0 -1 0 
 4 10 0.21922671163905205 1 0 -1 0 
 1 9 0.21922671163905205 1 2 0.31440855640013593 0 
 1 6 0.21922671163905205 1 0 -1 0 
 5 3 0.21922671163905205 1 1 2.5719342900754203 0 
 5 9 0.21922671163905205 1 1 2.49642637050571 0 
 8 7 0.21922671163905205 1 0 -1 0 
 1 4 0.21922671163905205 1 0 -1 0 
 10 3 0.21922671163905205 1 4 0.02191308738011628 0 
 5 6 0.21922671163905205 1 0 -1 0 
 4 7 0.21922671163905205 1 1 0.23865425410769386 0 
 6 2 0.21922671163905205 1 1 0.6888126979975043 0 
 8 3 0.21922671163905205 1 4 0.11960884063461244 0 
 9 2 0.21922671163905205 1 0 -1 0 
 10 3 0.24113979901916832 1 4 0 1 
 8 2 0.24113979901916832 1 1 0.683141967313496 0 
 5 6 0.24113979901916832 1 0 -1 0 
 7 6 0.24113979901916832 1 0 -1 0 
 1 5 0.24113979901916832 1 0 -1 0 
 5 9 0.24113979901916832 1 0 -1 0 
 7 2 0.24113979901916832 1 1 0.439685153750927 0 
 1 6 0.24113979901916832 1 0 -1 0 
 4 6 0.24113979901916832 1 1 1.176828900548657 0 
 9 2 0.24113979901916832 1 1 0.028154147940276788 0 
 7 9 0.24113979901916832 1 0 -1 0 
 1 9 0.24113979901916832 1 2 1.1027767301252271 0 
 8 7 0.24113979901916832 1 0 -1 0 
 5 3 0.24113979901916832 1 0 -1 0 
 1 4 0.24113979901916832 1 0 -1 0 
