key1 key2 current-time capacity load life-time deleted?
 28 23 0 1 0 -1 0 
 41 80 0 1 0 -1 0 
 11 34 0 1 1 4.333545080258281 0 
 43 88 0 1 0 -1 0 
 6 44 0 1 0 -1 0 
 79 72 0 1 0 -1 0 
 2 63 0 1 0 -1 0 
 49 1 0 1 0 -1 0 
 83 12 0 1 0 -1 0 
 33 11 0 1 0 -1 0 
 16 68 0 1 0 -1 0 
 13 2 0 1 0 -1 0 
 60 24 0 1 0 -1 0 
 100 60 0 1 0 -1 0 
 61 18 0 1 0 -1 0 
 3 53 0 1 0 -1 0 
 48 35 0 1 0 -1 0 
 7 43 0 1 0 -1 0 
 27 41 0 1 0 -1 0 
 63 25 0 1 0 -1 0 
 91 73 0 1 0 -1 0 
 57 5 0 1 0 -1 0 
 8 7 0 1 0 -1 0 
 95 9 0 1 0 -1 0 
 4 51 0 1 0 -1 0 
 8 6 0 1 0 -1 0 
 18 80 0 1 0 -1 0 
 89 57 0 1 0 -1 0 
 83 75 0 1 1 1.5789842697339294 0 
 38 70 0 1 0 -1 0 
 73 23 0 1 2 0.07618585693553571 0 
 83 31 0 1 0 -1 0 
 70 30 0 1 0 -1 0 
 87 33 0 1 2 0.5104790172886962 0 
 48 22 0 1 0 -1 0 
 18 85 0 1 0 -1 0 
 43 60 0 1 1 3.3629428579751894 0 
 48 25 0 1 0 -1 0 
 93 42 0 1 0 -1 0 
 40 24 0 1 0 -1 0 
 27 15 0 1 0 -1 0 
 14 15 0 1 0 -1 0 
 4 50 0 1 0 -1 0 
 85 90 0 1 0 -1 0 
 65 57 0 1 0 -1 0 
 14 1 0 1 0 -1 0 
 89 50 0 1 0 -1 0 
 80 47 0 1 0 -1 0 
 81 75 0 1 1 0.057598724855607276 0 
 100 5 0 1 0 -1 0 
 26 25 0 1 0 -1 0 
 21 34 0 1 0 -1 0 
 88 67 0 1 0 -1 0 
 51 69 0 1 0 -1 0 
 28 50 0 1 0 -1 0 
 7 57 0 1 0 -1 0 
 84 46 0 1 0 -1 0 
 26 98 0 1 0 -1 0 
 59 71 0 1 0 -1 0 
 65 71 0 1 0 -1 0 
 45 91 0 1 0 -1 0 
 89 69 0 1 0 -1 0 
 81 20 0 1 1 0.2485017001435792 0 
 7 90 0 1 0 -1 0 
 11 52 0 1 0 -1 0 
 19 18 0 1 0 -1 0 
 65 24 0 1 0 -1 0 
 25 73 0 1 0 -1 0 
 54 15 0 1 0 -1 0 
 3 84 0 1 0 -1 0 
 61 11 0 1 0 -1 0 
 94 76 0 1 0 -1 0 
 38 82 0 1 0 -1 0 
 55 50 0 1 0 -1 0 
 38 14 0 1 0 -1 0 
 84 57 0 1 0 -1 0 
 91 76 0 1 0 -1 0 
 65 9 0 1 0 -1 0 
 86 36 0 1 0 -1 0 
 19 92 0 1 0 -1 0 
 63 100 0 1 0 -1 0 
 13 92 0 1 0 -1 0 
 52 69 0 1 0 -1 0 
 80 54 0 1 0 -1 0 
 3 67 0 1 0 -1 0 
 89 49 0 1 0 -1 0 
 66 15 0 1 0 -1 0 
 39 73 0 1 0 -1 0 
 19 55 0 1 0 -1 0 
 80 58 0 1 0 -1 0 
 66 23 0 1 0 -1 0 
 62 78 0 1 0 -1 0 
 26 18 0 1 0 -1 0 
 28 20 0 1 1 0.7696928059478483 0 
 87 73 0 1 2 1.576308949145565 0 
 98 72 0 1 0 -1 0 
 36 85 0 1 0 -1 0 
 52 71 0 1 2 1.2715680076608116 0 
 10 51 0 1 1 0.1983461521435809 0 
 26 94 0 1 0 -1 0 
 94 12 0 1 0 -1 0 
 95 76 0 1 0 -1 0 
 79 76 0 1 0 -1 0 
 70 81 0 1 0 -1 0 
 45 47 0 1 0 -1 0 
 61 12 0 1 0 -1 0 
 84 90 0 1 0 -1 0 
 96 76 0 1 0 -1 0 
 18 79 0 1 0 -1 0 
 30 99 0 1 0 -1 0 
 63 9 0 1 0 -1 0 
 80 73 0 1 0 -1 0 
 58 28 0 1 0 -1 0 
 97 73 0 1 0 -1 0 
 13 28 0 1 0 -1 0 
 3 78 0 1 1 0.9063697692242132 0 
 59 72 0 1 0 -1 0 
 36 51 0 1 2 0.2883785613923425 0 
 67 73 0 1 0 -1 0 
 39 1 0 1 0 -1 0 
 3 2 0 1 0 -1 0 
 43 92 0 1 0 -1 0 
 11 72 0 1 0 -1 0 
 58 94 0 1 0 -1 0 
 2 81 0 1 0 -1 0 
 41 12 0 1 0 -1 0 
 45 5 0 1 0 -1 0 
 7 24 0 1 0 -1 0 
 52 20 0 1 2 0.6525135816349686 0 
 70 89 0 1 0 -1 0 
 58 50 0 1 0 -1 0 
 8 85 0 1 0 -1 0 
 83 34 0 1 0 -1 0 
 86 74 0 1 0 -1 0 
 80 100 0 1 0 -1 0 
 38 6 0 1 0 -1 0 
 68 9 0 1 0 -1 0 
 49 99 0 1 0 -1 0 
 53 28 0 1 1 0.9987508613569571 0 
 100 33 0 1 0 -1 0 
 79 46 0 1 0 -1 0 
 70 90 0 1 0 -1 0 
 62 50 0 1 0 -1 0 
 45 30 0 1 0 -1 0 
 66 80 0 1 0 -1 0 
 19 41 0 1 0 -1 0 
 10 73 0 1 0 -1 0 
 2 1 0 1 0 -1 0 
 78 69 0 1 0 -1 0 
 8 39 0 1 0 -1 0 
 16 29 0 1 0 -1 0 
 19 77 0 1 0 -1 0 
 54 23 0 1 0 -1 0 
 97 94 0 1 0 -1 0 
 10 81 0 1 1 0.32729847419355274 0 
 8 51 0 1 1 0.28270565720714647 0 
 100 62 0 1 0 -1 0 
 52 34 0 1 1 0.24238142296344928 0 
 81 72 0 1 0 -1 0 
 4 32 0 1 0 -1 0 
 72 71 0 1 0 -1 0 
 22 89 0 1 0 -1 0 
 3 11 0 1 1 0.024259102088335798 0 
 30 58 0 1 0 -1 0 
 73 24 0 1 0 -1 0 
 9 57 0 1 0 -1 0 
 51 12 0 1 0 -1 0 
 67 9 0 1 0 -1 0 
 4 37 0 1 1 0.445117635282147 0 
 26 62 0 1 0 -1 0 
 56 46 0 1 0 -1 0 
 4 46 0 1 0 -1 0 
 43 90 0 1 0 -1 0 
 32 73 0 1 0 -1 0 
 2 56 0 1 0 -1 0 
 60 46 0 1 0 -1 0 
 11 57 0 1 0 -1 0 
 81 69 0 1 0 -1 0 
 42 56 0 1 0 -1 0 
 3 55 0 1 0 -1 0 
