key1 key2 current-time capacity load life-time deleted?
 56 27 0 1 0 -1 0 
 80 62 0 1 1 1.9810519499304906 0 
 5 10 0 1 0 -1 0 
 67 54 0 1 0 -1 0 
 85 5 0 1 1 0.7783706920771544 0 
 86 98 0 1 0 -1 0 
 47 25 0 1 0 -1 0 
 80 12 0 1 1 0.006617941275512477 0 
 93 75 0 1 0 -1 0 
 51 27 0 1 0 -1 0 
 59 72 0 1 0 -1 0 
 4 85 0 1 0 -1 0 
 59 26 0 1 0 -1 0 
 30 85 0 1 1 2.07748772379192 0 
 91 62 0 1 1 0.7040491063674527 0 
 68 36 0 1 0 -1 0 
 22 78 0 1 0 -1 0 
 40 58 0 1 0 -1 0 
 7 5 0 1 1 0.2987441762393476 0 
 24 55 0 1 0 -1 0 
 23 42 0 1 0 -1 0 
 84 28 0 1 0 -1 0 
 62 25 0 1 0 -1 0 
 76 48 0 1 0 -1 0 
 17 28 0 1 0 -1 0 
 15 47 0 1 2 0.4450491050526896 0 
 41 62 0 1 2 0.1360256612768156 0 
 66 60 0 1 0 -1 0 
 8 73 0 1 0 -1 0 
 44 92 0 1 2 0.18290260207591258 0 
 56 53 0 1 0 -1 0 
 46 67 0 1 1 0.9674151054634113 0 
 93 78 0 1 0 -1 0 
 18 44 0 1 0 -1 0 
 65 69 0 1 0 -1 0 
 51 10 0 1 2 1.1480756065801254 0 
 12 43 0 1 0 -1 0 
 4 31 0 1 0 -1 0 
 26 10 0 1 0 -1 0 
 96 43 0 1 0 -1 0 
 13 36 0 1 0 -1 0 
 1 41 0 1 0 -1 0 
 19 77 0 1 0 -1 0 
 46 10 0 1 1 2.3825206176374016 0 
 89 75 0 1 0 -1 0 
 7 6 0 1 2 0.005492556922135536 0 
 61 78 0 1 1 0.7224082149673645 0 
 96 25 0 1 0 -1 0 
 84 62 0 1 0 -1 0 
 46 2 0 1 0 -1 0 
 59 79 0 1 0 -1 0 
 4 28 0 1 0 -1 0 
 66 99 0 1 0 -1 0 
 16 37 0 1 1 0.6472129616715584 0 
 15 70 0 1 0 -1 0 
 82 12 0 1 0 -1 0 
 81 93 0 1 0 -1 0 
 22 32 0 1 0 -1 0 
 68 11 0 1 0 -1 0 
 73 38 0 1 0 -1 0 
 21 81 0 1 0 -1 0 
 15 12 0 1 0 -1 0 
 52 100 0 1 0 -1 0 
 53 72 0 1 0 -1 0 
