key1 key2 current-time capacity load life-time deleted?
 40 72 0 1 0 -1 0 
 5 29 0 1 0 -1 0 
 76 24 0 1 1 0.46016230474934033 0 
 69 53 0 1 0 -1 0 
 15 98 0 1 0 -1 0 
 59 60 0 1 0 -1 0 
 96 21 0 1 1 0.2890484006051843 0 
 19 78 0 1 0 -1 0 
 5 42 0 1 0 -1 0 
 91 50 0 1 0 -1 0 
 49 66 0 1 0 -1 0 
 70 72 0 1 0 -1 0 
 85 54 0 1 0 -1 0 
 77 88 0 1 0 -1 0 
 48 100 0 1 0 -1 0 
 63 27 0 1 0 -1 0 
 89 46 0 1 0 -1 0 
 47 3 0 1 0 -1 0 
 35 3 0 1 0 -1 0 
 96 46 0 1 0 -1 0 
 99 90 0 1 0 -1 0 
 85 57 0 1 0 -1 0 
 23 34 0 1 0 -1 0 
 58 20 0 1 0 -1 0 
 41 72 0 1 0 -1 0 
 91 17 0 1 1 0.11548661168474421 0 
 29 17 0 1 0 -1 0 
 55 10 0 1 0 -1 0 
 28 37 0 1 1 2.844954871282673 0 
 16 37 0 1 0 -1 0 
 46 68 0 1 0 -1 0 
 64 40 0 1 0 -1 0 
 45 42 0 1 0 -1 0 
 83 78 0 1 0 -1 0 
 42 67 0 1 0 -1 0 
 63 62 0 1 0 -1 0 
 37 27 0 1 0 -1 0 
 57 83 0 1 0 -1 0 
 38 84 0 1 0 -1 0 
 18 72 0 1 0 -1 0 
 67 9 0 1 0 -1 0 
 17 100 0 1 0 -1 0 
 47 37 0 1 0 -1 0 
 17 65 0 1 0 -1 0 
 6 95 0 1 0 -1 0 
 72 46 0 1 0 -1 0 
 100 92 0 1 0 -1 0 
 14 98 0 1 0 -1 0 
 1 81 0 1 0 -1 0 
 16 67 0 1 0 -1 0 
 77 53 0 1 0 -1 0 
 38 65 0 1 0 -1 0 
 90 9 0 1 0 -1 0 
 17 10 0 1 0 -1 0 
 60 88 0 1 0 -1 0 
 99 97 0 1 0 -1 0 
 35 88 0 1 0 -1 0 
 16 30 0 1 0 -1 0 
 87 97 0 1 0 -1 0 
 48 66 0 1 0 -1 0 
 58 71 0 1 0 -1 0 
 19 92 0 1 0 -1 0 
 98 75 0 1 0 -1 0 
 96 90 0 1 0 -1 0 
 70 80 0 1 0 -1 0 
 72 47 0 1 0 -1 0 
 46 11 0 1 0 -1 0 
 53 83 0 1 0 -1 0 
 81 4 0 1 0 -1 0 
 35 71 0 1 0 -1 0 
 87 91 0 1 0 -1 0 
 28 83 0 1 1 0.4550956914932683 0 
 28 25 0 1 0 -1 0 
 73 11 0 1 0 -1 0 
 90 58 0 1 0 -1 0 
 18 51 0 1 1 0.2922985192199459 0 
 5 52 0 1 0 -1 0 
 40 20 0 1 2 0.6773128437920031 0 
 64 39 0 1 0 -1 0 
 70 76 0 1 0 -1 0 
 49 3 0 1 0 -1 0 
 72 51 0 1 0 -1 0 
 6 75 0 1 0 -1 0 
 7 74 0 1 1 2.1057587985353963 0 
 69 68 0 1 0 -1 0 
 64 15 0 1 0 -1 0 
 42 63 0 1 0 -1 0 
 63 46 0 1 0 -1 0 
 91 8 0 1 0 -1 0 
 56 37 0 1 0 -1 0 
 7 71 0 1 0 -1 0 
 8 68 0 1 0 -1 0 
 26 11 0 1 0 -1 0 
 58 94 0 1 0 -1 0 
 64 94 0 1 0 -1 0 
 87 64 0 1 0 -1 0 
 85 11 0 1 0 -1 0 
 58 57 0 1 0 -1 0 
 21 19 0 1 1 0.2080112152674975 0 
 96 6 0 1 0 -1 0 
 43 72 0 1 0 -1 0 
 82 100 0 1 0 -1 0 
 16 50 0 1 0 -1 0 
 11 27 0 1 0 -1 0 
 11 28 0 1 0 -1 0 
 4 97 0 1 0 -1 0 
 96 52 0 1 0 -1 0 
 38 12 0 1 0 -1 0 
 96 12 0 1 0 -1 0 
 86 32 0 1 0 -1 0 
 47 46 0 1 0 -1 0 
 91 78 0 1 0 -1 0 
 42 47 0 1 0 -1 0 
 17 34 0 1 0 -1 0 
 41 38 0 1 0 -1 0 
 91 90 0 1 0 -1 0 
 80 10 0 1 0 -1 0 
 16 14 0 1 0 -1 0 
 67 65 0 1 0 -1 0 
 5 11 0 1 0 -1 0 
 16 66 0 1 0 -1 0 
 80 19 0 1 0 -1 0 
 52 94 0 1 0 -1 0 
 65 19 0 1 0 -1 0 
 44 92 0 1 0 -1 0 
 45 100 0 1 0 -1 0 
 2 8 0 1 0 -1 0 
 99 58 0 1 0 -1 0 
 3 74 0 1 0 -1 0 
 87 16 0 1 0 -1 0 
 65 9 0 1 0 -1 0 
 33 20 0 1 2 0.44028977044585316 0 
 20 25 0 1 0 -1 0 
 31 33 0 1 0 -1 0 
 26 75 0 1 0 -1 0 
 96 67 0 1 2 1.762662152597573 0 
 63 38 0 1 0 -1 0 
 89 36 0 1 0 -1 0 
 31 4 0 1 0 -1 0 
 91 12 0 1 0 -1 0 
 48 30 0 1 0 -1 0 
 14 55 0 1 0 -1 0 
 96 74 0 1 1 0.6879831154715126 0 
 8 19 0 1 0 -1 0 
 98 76 0 1 0 -1 0 
 17 93 0 1 0 -1 0 
 33 83 0 1 0 -1 0 
 84 78 0 1 0 -1 0 
 80 13 0 1 0 -1 0 
 33 29 0 1 0 -1 0 
 99 9 0 1 0 -1 0 
 64 61 0 1 0 -1 0 
 26 34 0 1 0 -1 0 
 98 55 0 1 0 -1 0 
 7 4 0 1 0 -1 0 
 86 68 0 1 0 -1 0 
 45 67 0 1 0 -1 0 
 51 13 0 1 1 0.3708026545469957 0 
 58 92 0 1 0 -1 0 
 86 93 0 1 1 0.5473405284321157 0 
 26 76 0 1 0 -1 0 
 85 53 0 1 0 -1 0 
 15 23 0 1 0 -1 0 
 69 9 0 1 0 -1 0 
 31 10 0 1 0 -1 0 
 35 28 0 1 0 -1 0 
 85 42 0 1 0 -1 0 
 81 18 0 1 0 -1 0 
 68 19 0 1 0 -1 0 
 33 88 0 1 0 -1 0 
 31 92 0 1 0 -1 0 
 72 83 0 1 1 0.43384170482810214 0 
 18 88 0 1 0 -1 0 
 59 83 0 1 0 -1 0 
 63 74 0 1 0 -1 0 
 35 65 0 1 0 -1 0 
 53 27 0 1 0 -1 0 
 93 24 0 1 1 0.26285404742941254 0 
 64 17 0 1 1 3.8373907963983944 0 
 70 56 0 1 0 -1 0 
 23 39 0 1 0 -1 0 
 45 93 0 1 0 -1 0 
 55 24 0 1 0 -1 0 
 57 88 0 1 0 -1 0 
 45 10 0 1 0 -1 0 
 69 98 0 1 0 -1 0 
 33 75 0 1 2 0.5068830758811438 0 
 29 50 0 1 0 -1 0 
 66 37 0 1 0 -1 0 
 22 89 0 1 0 -1 0 
 33 24 0 1 0 -1 0 
 18 14 0 1 0 -1 0 
 91 68 0 1 0 -1 0 
 75 9 0 1 0 -1 0 
 29 2 0 1 0 -1 0 
 29 93 0 1 0 -1 0 
 84 76 0 1 0 -1 0 
 91 3 0 1 0 -1 0 
 43 37 0 1 0 -1 0 
 29 47 0 1 0 -1 0 
 64 38 0 1 0 -1 0 
 5 100 0 1 0 -1 0 
 87 62 0 1 0 -1 0 
 50 46 0 1 0 -1 0 
 22 95 0 1 0 -1 0 
 95 88 0 1 0 -1 0 
